Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2022-08-16 06:52:44,false,"Rusko Pyöräily","23,74","437","01:06:43","116","136","2,7","--","--","21,4","34,1","93","119","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","21,0","0:00","No","20:41.26","3","28,0","01:04:24","01:06:43","23","72"
Cycling,2022-08-04 14:39:09,false,"Nousiainen Pyöräily","4,39","130","00:14:00","125","145","2,5","--","--","18,8","31,8","11","25","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","26,0","0:00","No","14:00.05","1","28,0","00:13:55","00:14:00","43","60"
Cycling,2022-08-04 10:17:50,false,"Rusko Pyöräily","4,53","328","00:39:19","120","141","3,0","--","--","6,9","26,4","28","15","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","25,0","0:00","No","39:18.91","1","29,0","00:16:32","00:39:19","60","79"
Cycling,2022-06-15 06:53:55,false,"Rusko Pyöräily","16,04","301","00:42:55","111","145","2,5","--","--","22,4","40,5","73","79","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","20,0","0:00","No","21:18.42","2","28,0","00:42:41","00:42:55","55","82"
Cycling,2022-06-09 17:03:58,false,"Turku Pyöräily","23,73","519","01:12:48","118","155","2,9","--","--","19,6","42,5","111","94","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","22,0","0:00","No","19:42.70","3","26,0","01:05:51","01:12:48","22","63"
Cycling,2022-06-09 07:18:00,false,"Rusko Pyöräily","23,77","563","01:06:52","123","162","3,1","--","--","21,3","32,5","90","118","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","16,0","0:00","No","21:02.63","3","27,0","01:04:31","01:06:52","18","69"
Cycling,2022-06-07 16:43:27,false,"Turku Pyöräily","23,69","434","01:06:47","112","135","2,3","--","--","21,3","42,6","139","93","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","24,0","0:00","No","19:59.11","3","27,0","01:03:53","01:06:47","15","63"
Cycling,2022-06-07 07:24:15,false,"Rusko Pyöräily","23,78","542","01:02:38","124","151","3,3","--","--","22,8","33,1","88","117","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","21,0","0:00","No","20:24.42","3","28,0","01:02:10","01:02:38","15","61"
Cycling,2022-05-24 16:53:49,false,"Turku Pyöräily","23,71","414","01:10:15","107","132","2,2","--","--","20,3","40,6","126","95","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","23,0","0:00","No","20:15.35","3","28,0","01:06:24","01:10:15","44","92"
Cycling,2022-05-24 07:19:18,false,"Rusko Pyöräily","23,42","499","01:06:06","116","141","2,9","--","--","21,3","32,8","91","120","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","19,0","0:00","No","21:01.40","3","28,0","01:03:07","01:06:06","31","86"
